wkurz;beznr;bezname;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;sprengelanzahl
LT2005;2800;Wahlkarten - Wahllokale;KPÖ;Kommunistische Partei Österreichs;5;518;7;511;79;8
LT2005;2800;Wahlkarten - Wahllokale;LH;Liste Hirschmann;6;518;7;511;14;8
LT2005;2800;Wahlkarten - Wahllokale;BZÖ;Bündnis Zukunft Österreich;7;518;7;511;8;8
LT2005;2800;Wahlkarten - Wahllokale;;Parteifrei;8;518;7;511;1;8
LT2005;2900;Heil- und Pflegeanstalten;ÖVP;Österreichische Volkspartei;1;5519;57;5462;2244;27
LT2005;2900;Heil- und Pflegeanstalten;SPÖ;Sozialdemokratische Partei Österreichs;2;5519;57;5462;1555;27
LT2005;2900;Heil- und Pflegeanstalten;FPÖ;Freiheitliche Partei Österreichs;3;5519;57;5462;248;27
LT2005;2900;Heil- und Pflegeanstalten;GRÜNE;Die Grünen - Die Grüne Alternative;4;5519;57;5462;563;27
LT2005;2900;Heil- und Pflegeanstalten;KPÖ;Kommunistische Partei Österreichs;5;5519;57;5462;606;27
LT2005;2900;Heil- und Pflegeanstalten;LH;Liste Hirschmann;6;5519;57;5462;128;27
LT2005;2900;Heil- und Pflegeanstalten;BZÖ;Bündnis Zukunft Österreich;7;5519;57;5462;86;27
LT2005;2900;Heil- und Pflegeanstalten;;Parteifrei;8;5519;57;5462;32;27
