wkurz;sprengel;wahlbe_gesamt;wahlbe_mann;wahlbe_frau
BRGRAZ12;1416;749;366;383
BRGRAZ12;1417;630;293;337
BRGRAZ12;1418;681;296;385
BRGRAZ12;1419;788;355;433
BRGRAZ12;1498;0;0;0
BRGRAZ12;1499;0;0;0
BRGRAZ12;1501;867;383;484
BRGRAZ12;1502;850;398;452
BRGRAZ12;1503;751;338;413
BRGRAZ12;1504;630;271;359
BRGRAZ12;1505;909;420;489
BRGRAZ12;1506;801;349;452
BRGRAZ12;1507;737;340;397
BRGRAZ12;1508;697;328;369
BRGRAZ12;1509;633;297;336
BRGRAZ12;1510;623;272;351
BRGRAZ12;1511;643;300;343
BRGRAZ12;1512;1010;462;548
BRGRAZ12;1513;768;342;426
BRGRAZ12;1514;787;330;457
BRGRAZ12;1515;725;346;379
BRGRAZ12;1516;116;24;92
BRGRAZ12;1598;0;0;0
BRGRAZ12;1599;0;0;0
BRGRAZ12;1601;848;448;400
BRGRAZ12;1602;768;390;378
BRGRAZ12;1603;893;438;455
BRGRAZ12;1604;720;348;372
BRGRAZ12;1605;703;347;356
BRGRAZ12;1606;696;326;370
BRGRAZ12;1607;670;304;366
BRGRAZ12;1608;600;268;332
BRGRAZ12;1609;946;453;493
BRGRAZ12;1610;920;428;492
BRGRAZ12;1611;994;488;506
BRGRAZ12;1612;846;377;469
BRGRAZ12;1613;782;359;423
BRGRAZ12;1614;893;449;444
BRGRAZ12;1698;0;0;0
BRGRAZ12;1699;0;0;0
BRGRAZ12;1701;785;389;396
BRGRAZ12;1702;810;408;402
BRGRAZ12;1703;711;326;385
BRGRAZ12;1704;1004;486;518
BRGRAZ12;1705;719;392;327
BRGRAZ12;1706;770;376;394
BRGRAZ12;1707;785;371;414
BRGRAZ12;1798;0;0;0
BRGRAZ12;1799;0;0;0
