wkurz;beznr;bezname;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;sprengelanzahl
GRGRAZ03;1200;Andritz;KPÖ;Kommunistische Partei Österreichs;5;8629;64;8565;1665;30
GRGRAZ03;1200;Andritz;GVP;Grazer Verkehrspartei;6;8629;64;8565;26;30
GRGRAZ03;1200;Andritz;RWA;Reif für die Wirtschaft und Arbeit;7;8629;64;8565;22;30
GRGRAZ03;1200;Andritz;LIF;Liberales Forum;8;8629;64;8565;29;30
GRGRAZ03;1300;Gösting;ÖVP;Österreichische Volkspartei;1;4217;47;4170;1347;17
GRGRAZ03;1300;Gösting;SPÖ;Sozialdemokratische Partei Österreichs;2;4217;47;4170;1263;17
GRGRAZ03;1300;Gösting;FPÖ;Freiheitliche Partei Österreichs;3;4217;47;4170;417;17
GRGRAZ03;1300;Gösting;GRÜNE;Die Grünen - Die Grüne Alternative;4;4217;47;4170;280;17
GRGRAZ03;1300;Gösting;KPÖ;Kommunistische Partei Österreichs;5;4217;47;4170;822;17
GRGRAZ03;1300;Gösting;GVP;Grazer Verkehrspartei;6;4217;47;4170;12;17
GRGRAZ03;1300;Gösting;RWA;Reif für die Wirtschaft und Arbeit;7;4217;47;4170;12;17
GRGRAZ03;1300;Gösting;LIF;Liberales Forum;8;4217;47;4170;17;17
GRGRAZ03;1400;Eggenberg;ÖVP;Österreichische Volkspartei;1;7425;84;7341;2378;29
GRGRAZ03;1400;Eggenberg;SPÖ;Sozialdemokratische Partei Österreichs;2;7425;84;7341;2286;29
GRGRAZ03;1400;Eggenberg;FPÖ;Freiheitliche Partei Österreichs;3;7425;84;7341;508;29
GRGRAZ03;1400;Eggenberg;GRÜNE;Die Grünen - Die Grüne Alternative;4;7425;84;7341;519;29
GRGRAZ03;1400;Eggenberg;KPÖ;Kommunistische Partei Österreichs;5;7425;84;7341;1578;29
GRGRAZ03;1400;Eggenberg;GVP;Grazer Verkehrspartei;6;7425;84;7341;7;29
GRGRAZ03;1400;Eggenberg;RWA;Reif für die Wirtschaft und Arbeit;7;7425;84;7341;38;29
GRGRAZ03;1400;Eggenberg;LIF;Liberales Forum;8;7425;84;7341;27;29
GRGRAZ03;1500;Wetzelsdorf;ÖVP;Österreichische Volkspartei;1;5792;64;5728;1795;22
GRGRAZ03;1500;Wetzelsdorf;SPÖ;Sozialdemokratische Partei Österreichs;2;5792;64;5728;1880;22
GRGRAZ03;1500;Wetzelsdorf;FPÖ;Freiheitliche Partei Österreichs;3;5792;64;5728;475;22
GRGRAZ03;1500;Wetzelsdorf;GRÜNE;Die Grünen - Die Grüne Alternative;4;5792;64;5728;275;22
GRGRAZ03;1500;Wetzelsdorf;KPÖ;Kommunistische Partei Österreichs;5;5792;64;5728;1237;22
GRGRAZ03;1500;Wetzelsdorf;GVP;Grazer Verkehrspartei;6;5792;64;5728;27;22
GRGRAZ03;1500;Wetzelsdorf;RWA;Reif für die Wirtschaft und Arbeit;7;5792;64;5728;25;22
GRGRAZ03;1500;Wetzelsdorf;LIF;Liberales Forum;8;5792;64;5728;14;22
