"";"numParish";"numDistrict";"authAll";"authMen";"authWomen";"authMenRel";"authWomenRel"
"203";1301;13;850;382;468;44,9411764705882;55,0588235294118
"204";1302;13;779;385;394;49,4223363286264;50,5776636713735
"205";1303;13;648;329;319;50,7716049382716;49,2283950617284
"206";1304;13;650;301;349;46,3076923076923;53,6923076923077
"207";1305;13;635;287;348;45,1968503937008;54,8031496062992
"208";1306;13;601;266;335;44,2595673876872;55,7404326123128
"209";1307;13;562;251;311;44,6619217081851;55,338078291815
"210";1308;13;719;336;383;46,7315716272601;53,2684283727399
"211";1309;13;635;293;342;46,1417322834646;53,8582677165354
"212";1310;13;788;399;389;50,6345177664975;49,3654822335025
"213";1311;13;628;314;314;50;50
"214";1312;13;331;164;167;49,5468277945619;50,4531722054381
"215";1401;14;828;407;421;49,1545893719807;50,8454106280193
"216";1402;14;934;437;497;46,7880085653105;53,2119914346895
"217";1403;14;648;301;347;46,4506172839506;53,5493827160494
"218";1404;14;720;336;384;46,6666666666667;53,3333333333333
"219";1405;14;927;446;481;48,1121898597627;51,8878101402373
"220";1406;14;703;346;357;49,2176386913229;50,7823613086771
"221";1407;14;695;308;387;44,3165467625899;55,6834532374101
"222";1408;14;792;377;415;47,6010101010101;52,3989898989899
"223";1409;14;785;379;406;48,2802547770701;51,7197452229299
"224";1410;14;1027;432;595;42,064264849075;57,935735150925
"225";1411;14;795;359;436;45,1572327044025;54,8427672955975
"226";1412;14;680;316;364;46,4705882352941;53,5294117647059
"227";1413;14;776;351;425;45,2319587628866;54,7680412371134
"228";1414;14;705;304;401;43,1205673758865;56,8794326241135
"229";1415;14;737;339;398;45,9972862957938;54,0027137042062
"230";1416;14;749;366;383;48,8651535380507;51,1348464619493
"231";1417;14;630;293;337;46,5079365079365;53,4920634920635
"232";1418;14;681;296;385;43,4654919236417;56,5345080763583
"233";1419;14;788;355;433;45,0507614213198;54,9492385786802
"234";1501;15;867;383;484;44,1753171856978;55,8246828143022
"235";1502;15;850;398;452;46,8235294117647;53,1764705882353
"236";1503;15;751;338;413;45,0066577896138;54,9933422103862
"237";1504;15;630;271;359;43,015873015873;56,984126984127
"238";1505;15;909;420;489;46,2046204620462;53,7953795379538
"239";1506;15;801;349;452;43,5705368289638;56,4294631710362
"240";1507;15;737;340;397;46,1329715061058;53,8670284938942
"241";1508;15;697;328;369;47,0588235294118;52,9411764705882
"242";1509;15;633;297;336;46,9194312796209;53,0805687203791
"243";1510;15;623;272;351;43,6597110754414;56,3402889245586
"244";1511;15;643;300;343;46,656298600311;53,343701399689
"245";1512;15;1010;462;548;45,7425742574257;54,2574257425743
"246";1513;15;768;342;426;44,53125;55,46875
"247";1514;15;787;330;457;41,9313850063532;58,0686149936468
"248";1515;15;725;346;379;47,7241379310345;52,2758620689655
"249";1516;15;116;24;92;20,6896551724138;79,3103448275862
"250";1601;16;848;448;400;52,8301886792453;47,1698113207547
